filename,chroma_freq,rms,zero_crossing_rate,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc9,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
pop.00016.wav,0.386982411,0.08685213,0.136394362,6.572271824,32.55513,-6.295336723,15.30849552,-5.892954826,-3.577061892,-12.90241814,9.388485909,-10.50656033,5.537546158,-11.02626419,4.811300278,-9.899381638,4.567552567,-9.50390625,6.617300987,pop
pop.00059.wav,0.471149564,0.148289701,0.125254526,7.504401684,40.10137939,3.943210125,17.47760391,1.600523114,-3.986790419,-6.608920097,15.51475143,-6.075767994,10.17629433,-8.545541763,7.798476696,-5.003398895,9.016419411,-6.599113941,4.793115139,pop
pop.00010.wav,0.377865225,0.111584823,0.063234121,0.511407197,44.64684677,12.20251465,27.84585953,-2.917370081,-3.717110634,-8.207596779,12.02888107,-5.782576084,1.900467992,-5.808045387,7.007487774,-5.859717369,7.460447311,-9.42028904,-1.447566628,pop
pop.00015.wav,0.385099381,0.116759959,0.12504154,-0.230124354,27.55798912,-5.864108562,17.11418533,-5.830461025,-4.136193752,-7.486384869,13.36256695,-6.294784546,12.29809952,-7.671741962,6.629980087,-9.896473885,5.214241982,-8.459775925,4.562479019,pop
pop.00090.wav,0.351128519,0.116718115,0.132851774,13.89619541,32.64027405,1.711183548,16.01228142,-7.037841797,-7.488130093,-12.92415333,7.353590488,-18.39404488,6.50050354,-17.78462601,5.75211525,-11.35969067,12.52259064,-6.41843462,7.147287846,pop
pop.00027.wav,0.376746744,0.094633793,0.092135613,-1.818380475,26.86171722,2.001205206,19.46000862,-6.514251709,-5.516695976,-13.04387474,5.927188873,-11.5763588,3.386661291,-10.12296581,4.641746044,-10.81681442,6.57180357,-8.157831192,3.872057438,pop
pop.00091.wav,0.421484172,0.157542264,0.149610055,-5.286266327,31.40454102,0.770982325,20.45202446,-7.101964474,-7.654559612,-12.61281395,10.50346947,-13.18658638,8.825389862,-13.62014771,7.759166718,-11.32686996,8.549351692,-9.011457443,4.96494627,pop
pop.00020.wav,0.408906192,0.14812764,0.162171685,-15.90091324,18.62429237,-5.383900642,12.77209473,-8.899759293,-8.129800797,-12.20262527,13.74332523,-9.01656723,12.63699627,-8.070074081,9.398850441,-9.727272034,9.404592514,-7.437534809,9.722655296,pop
pop.00080.wav,0.431821406,0.128381272,0.109054011,-0.875717044,20.72130585,0.188698038,20.07718277,-0.658150494,-1.804108381,-6.870372295,9.504528046,-7.802368641,10.57963943,-9.130883217,9.261321068,-9.649571419,11.43173218,-2.689735413,11.06310844,pop
pop.00053.wav,0.276544333,0.10415594,0.099372221,-33.7781601,-8.15879631,-25.1870575,-18.13302612,-6.874281883,-23.1175499,-33.17186737,-7.364610672,-25.50355339,-4.073618889,-15.46811295,-7.049037933,-16.2719574,-6.041453838,-10.54528618,2.174952269,pop
pop.00018.wav,0.40852499,0.124562527,0.110767338,20.9718399,25.46492195,3.585373402,21.41690826,-3.767868996,-5.1744771,-15.3349371,10.12858582,-10.83916283,9.5429039,-8.922223091,10.84216309,-7.311479092,10.13685131,-3.894658089,8.894997597,pop
